No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*,SMILES
55.0,Wainua,eplontersen,12/21/2023,To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis,
54.0,Filsuvez,birch triterpenes,12/18/2023,To treat wounds associated with dystrophic and junctional epidermolysis bullosa,
53.0,Fabhalta ,iptacopan,12/5/2023,To treat paroxysmal nocturnal hemoglobinuria,CCOC1CCN(C(C1)C2=CC=C(C=C2)C(=O)O)CC3=C(C=C(C4=C3C=CN4)C)OC.O.Cl
52.0,Ogsiveo,nirogacestat,11/27/2023,To treat adults with progressing desmoid tumors who require systemic treatment,CCCC(C(=O)NC1=CN(C=N1)C(C)(C)CNCC(C)(C)C)NC2CCC3=C(C2)C(=CC(=C3)F)F
51.0,Truqap,capivasertib,11/16/2023,To treat breast cancer that meets certain disease criteria,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4
50.0,Ryzneuta,efbemalenograstim alfa-vuxw,11/16/2023,To treat neutropenia,
49.0,Augtyro,repotrectinib,11/15/2023,To treat ROS1-positive non-small cell lung cancer,CC1CNC(=O)C2=C3N=C(C=CN3N=C2)NC(C4=C(O1)C=CC(=C4)F)C
48.0,Defencath,"taurolidine, heparin",11/15/2023,To reduce the incidence of catheter-related bloodstream infections in adults with kidney failure receiving chronic hemodialysis through a central venous catheter,C1CS(=O)(=O)NCN1CN2CCS(=O)(=O)NC2
47.0,Fruzaqla,fruquintinib,11/8/2023,"To treat refractory, metastatic colorectal cancer",CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC
46.0,Loqtorzi,toripalimab-tpzi,10/27/2023,To treat recurrent or metastatic nasopharyngeal carcinoma when used together with or following other therapies,
45.0,Omvoh,mirikizumab-mrkz,10/26/2023,To treat ulcerative colitis,
44.0,Agamree,vamorolone,10/26/2023,To treat Duchenne muscular dystrophy,CC1CC2C3CCC4=CC(=O)C=CC4(C3=CCC2(C1(C(=O)CO)O)C)C
43.0,Bimzelx,bimekizumab,10/17/2023,To treat moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,
42.0,Zilbrysq,zilucoplan,10/17/2023,To treat generalized myasthenia gravis in adults who are anti-acetylcholine receptor (AChR) antibody positive,
41.0,Velsipity,etrasimod,10/12/2023,To treat moderately to severely active ulcerative colitis in adults,C1CCC(C1)C2=C(C=C(C=C2)COC3=CC4=C(C=C3)NC5=C4CCC5CC(=O)O)C(F)(F)F
40.0,Rivfloza,nedosiran,9/29/2023,To lower urinary oxalate levels in patients 9 years and older with primary hyperoxaluria type 1 and relatively preserved kidney function,
39.0,Pombiliti,cipaglucosidase alfa-atga,9/28/2023,To treat late-onset Pompe disease,
38.0,Exxua,gepirone,9/22/2023,To treat major depressive disorder,CC1(CC(=O)N(C(=O)C1)CCCCN2CCN(CC2)C3=NC=CC=N3)C.Cl
37.0,Ojjaara,momelotinib,9/15/2023,To treat intermediate or high-risk myelofibrosis in adults with anemia,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N
36.0,Aphexda,motixafortide,9/8/2023,To use with filgrastim (G-CSF) to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with multiple myeloma,
35.0,Veopoz,pozelimab-bbfg,8/18/2023,"To treat patients 1 year old and older with CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease",
34.0,Sohonos,palovarotene,8/16/2023,To reduce the volume of new heterotopic ossification in adults and pediatric patients (aged 8 years and older for females and 10 years and older for males) with fibrodysplasia ossificans progressiva,CC1(CCC(C2=C1C=C(C(=C2)C=CC3=CC=C(C=C3)C(=O)O)CN4C=CC=N4)(C)C)C
33.0,Elrexfio,elranatamab-bcmm,8/14/2023,To treat adults with relapsed or refractory multiple myeloma who have received at least four prior lines of therapy,
32.0,Talvey,talquetamab-tgvs,8/9/2023,To treat adults with relapsed or refractory multiple myeloma who have received at least four prior therapies,
31.0,Izervay,avacincaptad pegol,8/4/2023,To treat geographic atrophy secondary to age-related macular degeneration,
30.0,Zurzuvae,zuranolone,8/4/2023,To treat postpartum depression Press Release,CC1(CCC2C(C1)CCC3C2CCC4(C3CCC4C(=O)CN5C=C(C=N5)C#N)C)O
29.0,Xdemvy,lotilaner,7/25/2023,To treat Demodex blepharitis,
28.0,Vanflyta,quizartinib,7/20/2023,To use as part of a treatment regimen for newly diagnosed acute myeloid leukemia that meets certain criteria,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3
27.0,Beyfortus,nirsevimab-alip,7/17/2023,To prevent respiratory syncytial virus (RSV) lower respiratory tract diseasePress Release,
26.0,Ngenla,somatrogon-ghla,6/27/2023,To treat growth failure due to inadequate secretion of endogenous growth hormone,
25.0,Rystiggo,rozanolixizumab-noli,6/26/2023,To treat generalized myasthenia gravis in adults who are anti-acetylcholine receptor- or anti-muscle-specific tyrosine kinase antibody-positive,
24.0,Litfulo,ritlecitinib,6/23/2023,To treat severely patchy hair loss,CC1CCC(CN1C(=O)C=C)NC2=NC=NC3=C2C=CN3
23.0,Columvi,glofitamab-gxbm,6/15/2023,"To treat diffuse large B-cell lymphoma, not otherwise specified, or large B-cell lymphoma arising from follicular lymphoma after two or more lines of systemic therapy",
